Model;Query;Result;Verification Time;Memory Usage;Discovered States;Explored States;Stored States;Query Property;Extra Tokens;Verification Method;Symmetry;Search Order;Approximation Method;Approximation Constant
Arpanet19719.tapn;LoopFree;Satisfied;0.022 s;N/A;6;3;5;AG P5_visited.P5_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arpanet19719.tapn;All3;Satisfied;0.026 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P16 >= 1) and (P10_visited.P10_visited >= 1 or Routings.P16 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
AsnetAm.tapn;Reach_P60;Satisfied;0.031 s;N/A;6;3;5;AG (!(deadlock) or Routings.P60 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
AsnetAm.tapn;Waypoint_P7_visited;Satisfied;0.027 s;N/A;6;3;5;AG (P7_visited.P7_visited >= 1 or Routings.P60 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
AsnetAm.tapn;LoopFree;Satisfied;0.022 s;N/A;6;3;5;AG P3_visited.P3_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
AsnetAm.tapn;All3;Satisfied;0.026 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P60 >= 1) and (P7_visited.P7_visited >= 1 or Routings.P60 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
AttMpls.tapn;Reach_P24;Satisfied;0.032 s;N/A;6;3;5;AG (!(deadlock) or Routings.P24 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
AttMpls.tapn;Waypoint_P2_visited;Satisfied;0.024 s;N/A;6;3;5;AG (P2_visited.P2_visited >= 1 or Routings.P24 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
AttMpls.tapn;LoopFree;Satisfied;0.029 s;N/A;6;3;5;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
AttMpls.tapn;All3;Satisfied;0.025 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P24 >= 1) and (P2_visited.P2_visited >= 1 or Routings.P24 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bandcon.tapn;Reach_P19;Satisfied;0.028 s;N/A;6;3;5;AG (!(deadlock) or Routings.P19 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bandcon.tapn;Waypoint_P16_visited;Satisfied;0.026 s;N/A;6;3;5;AG (P16_visited.P16_visited >= 1 or Routings.P19 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bandcon.tapn;LoopFree;Satisfied;0.023 s;N/A;6;3;5;AG P5_visited.P5_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bandcon.tapn;All3;Satisfied;0.028 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P19 >= 1) and (P16_visited.P16_visited >= 1 or Routings.P19 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bbnplanet.tapn;Reach_P26;Satisfied;0.033 s;N/A;10;3;9;AG (!(deadlock) or Routings.P26 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bbnplanet.tapn;Waypoint_P24_visited;Satisfied;0.03 s;N/A;10;3;9;AG (P24_visited.P24_visited >= 1 or Routings.P26 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bbnplanet.tapn;LoopFree;Satisfied;0.032 s;N/A;10;3;9;AG P4_visited.P4_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bbnplanet.tapn;All3;Satisfied;0.033 s;N/A;10;3;9;AG ((!(deadlock) or Routings.P26 >= 1) and (P24_visited.P24_visited >= 1 or Routings.P26 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bellcanada.tapn;Reach_P33;Satisfied;0.032 s;N/A;6;3;5;AG (!(deadlock) or Routings.P33 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bellcanada.tapn;Waypoint_P8_visited;Satisfied;0.025 s;N/A;6;3;5;AG (P8_visited.P8_visited >= 1 or Routings.P33 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bellcanada.tapn;LoopFree;Satisfied;0.027 s;N/A;6;3;5;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bellcanada.tapn;All3;Satisfied;0.028 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P33 >= 1) and (P8_visited.P8_visited >= 1 or Routings.P33 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bellsouth.tapn;Reach_P50;Satisfied;0.027 s;N/A;6;3;5;AG (!(deadlock) or Routings.P50 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bellsouth.tapn;Waypoint_P34_visited;Satisfied;0.024 s;N/A;6;3;5;AG (P34_visited.P34_visited >= 1 or Routings.P50 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bellsouth.tapn;LoopFree;Satisfied;0.026 s;N/A;6;3;5;AG P19_visited.P19_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Bellsouth.tapn;All3;Satisfied;0.025 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P50 >= 1) and (P34_visited.P34_visited >= 1 or Routings.P50 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2003.tapn;Reach_P14;Satisfied;0.027 s;N/A;6;3;5;AG (!(deadlock) or Routings.P14 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2003.tapn;Waypoint_P4_visited;Satisfied;0.025 s;N/A;6;3;5;AG (P4_visited.P4_visited >= 1 or Routings.P14 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2003.tapn;LoopFree;Satisfied;0.022 s;N/A;6;3;5;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2003.tapn;All3;Satisfied;0.024 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P14 >= 1) and (P4_visited.P4_visited >= 1 or Routings.P14 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2004.tapn;Reach_P14;Satisfied;0.024 s;N/A;6;3;5;AG (!(deadlock) or Routings.P14 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2004.tapn;Waypoint_P4_visited;Satisfied;0.021 s;N/A;6;3;5;AG (P4_visited.P4_visited >= 1 or Routings.P14 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2004.tapn;LoopFree;Satisfied;0.022 s;N/A;6;3;5;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2004.tapn;All3;Satisfied;0.023 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P14 >= 1) and (P4_visited.P4_visited >= 1 or Routings.P14 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2005.tapn;Reach_P14;Satisfied;0.027 s;N/A;7;3;6;AG (!(deadlock) or Routings.P14 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2005.tapn;Waypoint_P4_visited;Satisfied;0.021 s;N/A;7;3;6;AG (P4_visited.P4_visited >= 1 or Routings.P14 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2005.tapn;LoopFree;Satisfied;0.022 s;N/A;7;3;6;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2005.tapn;All3;Satisfied;0.021 s;N/A;7;3;6;AG ((!(deadlock) or Routings.P14 >= 1) and (P4_visited.P4_visited >= 1 or Routings.P14 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2006.tapn;Reach_P14;Satisfied;0.022 s;N/A;7;3;6;AG (!(deadlock) or Routings.P14 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2006.tapn;Waypoint_P4_visited;Satisfied;0.022 s;N/A;7;3;6;AG (P4_visited.P4_visited >= 1 or Routings.P14 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2006.tapn;LoopFree;Satisfied;0.021 s;N/A;7;3;6;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2006.tapn;All3;Satisfied;0.022 s;N/A;7;3;6;AG ((!(deadlock) or Routings.P14 >= 1) and (P4_visited.P4_visited >= 1 or Routings.P14 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2009.tapn;Reach_P20;Satisfied;0.028 s;N/A;7;3;6;AG (!(deadlock) or Routings.P20 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2009.tapn;Waypoint_P1_visited;Satisfied;0.024 s;N/A;7;3;6;AG (P1_visited.P1_visited >= 1 or Routings.P20 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2009.tapn;LoopFree;Satisfied;0.023 s;N/A;7;3;6;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Belnet2009.tapn;All3;Satisfied;0.027 s;N/A;7;3;6;AG ((!(deadlock) or Routings.P20 >= 1) and (P1_visited.P1_visited >= 1 or Routings.P20 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
